CMDLINE D:\Wrishav\floorOverlay\.venv\Scripts\python.exe .\app.py
MEM 6.707031 1750936420.3311
MEM 6.707031 1750936420.4323
MEM 6.707031 1750936420.5328
MEM 6.707031 1750936420.6333
MEM 6.707031 1750936420.7339
MEM 6.707031 1750936420.8342
MEM 6.707031 1750936420.9349
MEM 6.707031 1750936421.0357
MEM 6.707031 1750936421.1362
MEM 6.707031 1750936421.2371
MEM 6.707031 1750936421.3379
MEM 6.707031 1750936421.4385
MEM 6.707031 1750936421.5393
MEM 6.707031 1750936421.6401
MEM 6.707031 1750936421.7405
MEM 6.707031 1750936421.8411
MEM 6.707031 1750936421.9416
MEM 6.707031 1750936422.0423
MEM 6.707031 1750936422.1430
MEM 6.707031 1750936422.2434
MEM 6.707031 1750936422.3445
MEM 6.707031 1750936422.4449
MEM 6.707031 1750936422.5454
MEM 6.707031 1750936422.6462
MEM 6.707031 1750936422.7472
MEM 6.707031 1750936422.8478
MEM 6.707031 1750936422.9485
MEM 6.707031 1750936423.0493
MEM 6.707031 1750936423.1510
MEM 6.707031 1750936423.2518
MEM 6.707031 1750936423.3522
MEM 6.707031 1750936423.4526
MEM 6.707031 1750936423.5534
MEM 6.707031 1750936423.6540
MEM 6.707031 1750936423.7548
MEM 6.707031 1750936423.8555
MEM 6.707031 1750936423.9562
MEM 6.707031 1750936424.0567
MEM 6.707031 1750936424.1574
MEM 6.707031 1750936424.2581
MEM 6.707031 1750936424.3589
MEM 6.707031 1750936424.4596
MEM 6.707031 1750936424.5604
MEM 6.707031 1750936424.6611
MEM 6.707031 1750936424.7618
MEM 6.707031 1750936424.8624
MEM 6.707031 1750936424.9628
MEM 6.707031 1750936425.0636
MEM 6.707031 1750936425.1642
MEM 6.707031 1750936425.2647
MEM 6.707031 1750936425.3655
MEM 6.707031 1750936425.4660
MEM 6.707031 1750936425.5666
MEM 6.707031 1750936425.6670
MEM 6.707031 1750936425.7676
MEM 6.707031 1750936425.8682
MEM 6.707031 1750936425.9690
MEM 6.707031 1750936426.0696
MEM 6.707031 1750936426.1703
MEM 6.707031 1750936426.2709
MEM 6.707031 1750936426.3713
MEM 6.707031 1750936426.4717
MEM 6.707031 1750936426.5721
MEM 6.707031 1750936426.6727
MEM 6.707031 1750936426.7735
MEM 6.707031 1750936426.8743
MEM 6.707031 1750936426.9747
MEM 6.707031 1750936427.0755
MEM 6.707031 1750936427.1759
MEM 6.707031 1750936427.2765
MEM 6.707031 1750936427.3775
MEM 6.707031 1750936427.4780
MEM 6.707031 1750936427.5784
MEM 6.707031 1750936427.6788
MEM 6.707031 1750936427.7791
MEM 6.707031 1750936427.8797
MEM 6.707031 1750936427.9804
MEM 6.707031 1750936428.0810
MEM 6.707031 1750936428.1817
MEM 6.707031 1750936428.2821
MEM 6.707031 1750936428.3826
MEM 6.707031 1750936428.4832
MEM 6.707031 1750936428.5839
MEM 6.707031 1750936428.6846
MEM 6.707031 1750936428.7848
MEM 6.707031 1750936428.8852
MEM 6.707031 1750936428.9858
MEM 6.707031 1750936429.0865
MEM 6.707031 1750936429.1871
MEM 6.707031 1750936429.2876
MEM 6.707031 1750936429.3881
MEM 6.707031 1750936429.4885
MEM 6.707031 1750936429.5891
MEM 6.707031 1750936429.6898
MEM 6.707031 1750936429.7904
MEM 6.707031 1750936429.8908
MEM 6.707031 1750936429.9912
MEM 6.707031 1750936430.0919
MEM 6.707031 1750936430.1927
MEM 6.707031 1750936430.2933
MEM 6.707031 1750936430.3938
MEM 6.707031 1750936430.4946
MEM 6.707031 1750936430.5953
MEM 6.707031 1750936430.6956
MEM 6.707031 1750936430.7963
MEM 6.707031 1750936430.8975
MEM 6.707031 1750936430.9979
MEM 6.707031 1750936431.0985
MEM 6.707031 1750936431.1991
MEM 6.707031 1750936431.2996
MEM 6.707031 1750936431.4004
